"Argosy University-Orange County","3501 West Sunflower Avenue Suite 110 Santa Ana California 92704","92704","@argosy.edu",33.7237,-117.9075
"Argosy University-Phoenix","2233 West Dunlap Avenue Phoenix Arizona 85021","85021","@argosyu.edu",33.559,-112.0932
"Argosy University-Salt Lake City","121 Election Rd Ste 300 Draper Utah 84020","84020","@argosy.edu",40.5093,-111.8681
"Argosy University-San Diego","1615 Murray Canyon Road Suite 100 San Diego California 92108","92108","@argosy.edu",32.7762,-117.1379
"Argosy University-San Francisco Bay Area","1005 Atlantic Avenue Alameda California 94501","94501","@argosyu.edu",37.7716,-122.2632
"Argosy University-Sarasota","5250 17th Street Sarasota Florida 34235","34235","@argosy.edu",27.3649,-82.4801
"Argosy University-Schaumburg","999 North Plaza Dr. Suite 111 Schaumburg Illinois 60173-5403","60173","@argosy.edu",42.0475,-88.043
"Argosy University-Seattle","2601-A Elliott Avenue Seattle Washington 98121","98121","@argosyu.edu",47.6155,-122.3462
"Argosy University-Tampa","4401 North Himes Ave Suite 150 Tampa Florida 33614","33614","@argosy.edu",28.0088,-82.5041
"Argosy University-Twin Cities","1515 Central Parkway Eagan Minnesota 55121","55121","@argosyu.edu",44.846,-93.15
"Argosy University-Washington D.C.","1550 Wilson Boulevard Suite 600 Arlington Virginia 22209","22209","@argosyu.edu",38.8951,-77.074
"Arizona State University,"1809 E Apache Blvd Tempe AZ","85281","@asu.edu",33.4147,-111.9086
"Arizona State University at the Downtown Phoenix Campus,"107 County Road 1  AZ","60920",@asu.edu ,41.0233,-88.306099
"Arizona State University at the Polytechnic Campus,"107 County Road 1  AZ","60920","@asu.edu",41.0233,-88.306099
"Arizona State University at the West Campus,"  AZ","86305","@asu.edu",34.595242,-112.554001
"Arizona Western College,"366 W 1st St Yuma AZ","85364","@azwestern.edu",32.725299,-114.623596
"Arkansas Northeastern College,"121 S Division St Blytheville AR","72315","@anc.edu",35.9272,-89.9189
"Arkansas State University-Beebe,"138 E Center St Beebe AR","72012","@asub.edu",35.070599,-91.879402
*"Arkansas State University-Main Campus","2105 E. Aggie Road State University Arkansas 72467","72467","@asub.edu",35.9519,-90.4443
"Arkansas State University-Mountain Home,"36 E 6th St Mountain Home AR","72653","@asumh.edu",36.3353,-92.385002
"Arkansas State University-Newport,"470 3rd St Newport AR","72112","@asun.edu",35.604721,-91.28167
"Arkansas Tech University","Administration Bldg 200; 1509 N Boulder Ave Russellville Arkansas 72801-2222","72801","@atu.edu",35.2938,-93.1361
"Armstrong Atlantic State University","11935 Abercorn St Savannah Georgia 31419-1997","31419","@mail.armstrong.edu",31.9818,-81.163
"Asbury College","1 Macklem Dr Wilmore Kentucky 40390-1198","40390","@asbury.edu",37.8634,-84.6607
"Asbury Theological Seminary","204 N Lexington Ave Wilmore Kentucky 40390-1199","40390","@Asburyseminary.edu",37.8626,-84.6609
*"Ascension College,"State Route 429 Gonzales LA","70737",,30.2383,-90.919998
"Asheville-Buncombe Technical Community College,"629 Chatham St Asheville NC","27330",@abtech.edu ,35.476109,-79.172302
*"Ashford University,"215 2nd Ave S Clinton IA","52732",,41.844398,-90.188599
"Ashland University","401 College Ave Ashland Ohio 44805","44805","@ashland.edu",40.8632,-82.3217
"Assemblies of God Theological Seminary","1435 N Glenstone Ave Springfield Missouri 65802-2131","65802","@agts.edu",37.2246,-93.2616
"Associated Mennonite Biblical Seminary","3003 Benham Ave Elkhart Indiana 46517-1999","46517","@ambs.edu",41.6559,-85.9702
"Assumption College","500 Salisbury St Worcester Massachusetts 01609-1296","01609","@assumption.edu",42.2897,-71.8301
"Athenaeum of Ohio","6616 Beechmont Ave Cincinnati Ohio 45230-2091","45230","@athenaeum.edu",39.0825,-84.3754
"Athens State University","300 N Beaty St Athens Alabama 35611","35611","@athens.edu",34.7888,-87.0194
"Athens Technical College,"N Lumpkin St Athens GA","30601","@athenstech.edu",33.9608,-83.378098
"Atlanta Technical College," Atlanta GA","30303","@atlantatech.edu",33.748901,-84.3881
*"Atlantic Cape Community College,"95 Taylor Ave Mays Landing NJ","08330","@atlantic.edu",39.452202,-74.728104
*"Atlantic College," Guaynabo PR","00969","@atlantic.edu",18.3594,-66.111397
"Atlantic Union College,"40 Orchard St South Lancaster MA","01561","@atlanticuc.edu",42.444401,-71.6875
"Auburn University Main Campus,"Roosevelt Dr Auburn University AL","36849","@auburn.edu",32.601002,-85.488197
"Auburn University-Montgomery","7440 East Drive Montgomery Alabama 36117-3596","36117","@mail.aum.edu",32.3724,-86.1726
"Augsburg College","2211 Riverside Ave Minneapolis Minnesota 55454","55454","@augsburg.edu",44.9689,-93.2449
"Augusta State University","2500 Walton Way Augusta Georgia 30904-2200","30904","@aug.edu",33.4782,-82.0245
"Augusta Technical College," Augusta GA","30904","@augustatech.edu",33.466701,-82.016701
"Augustana College","639 38th St Rock Island Illinois 61201-2296","61201","@augie.edu",41.5052,-90.5474
"Aurora University,"291 W Galena Blvd Aurora IL","60506","@aurora.edu",41.760601,-88.32
*"Austin College,"134 E Lamar St Sherman TX","75090",@g.austin @bncollege.com @kxii.com ,33.635601,-96.608597
"Austin Community College District,"129 E 5th St Austin TX","78701","@austincc.edu",30.266899,-97.742798
"Austin Graduate School of Theology,"129 E 5th St Austin TX","78701","@austingrad.edu",30.266899,-97.742798
"Austin Peay State University,"239 N 2nd St Clarksville TN","37040","@apsu.edu",36.529701,-87.359398
"Ave Maria School of Law","3475 Plymouth Rd Ann Arbor Michigan 48105-2550","48105","@avemarialaw.edu",42.3048,-83.6939
"Ave Maria University,"2871 Jefferson St Ave Maria FL","32446","@avemaria.edu",30.7742,-85.226898
"Averett University","420 W Main St Danville Virginia 24541","24541","@averett.edu",36.5794,-79.4448
"Avila University","11901 Wornall Rd Kansas City Missouri 64145-1698","64145","@mail.avila.edu",38.9122,-94.5934
"Azusa Pacific University,"165 E Foothill Blvd Azusa CA","91702","@apu.edu",34.133598,-117.9067
"Babson College,"411 Linden St Wellesley MA","02481","@babson.edu",42.3083,-71.279198
"Bacone College","2299 Old Bacone Rd Muskogee Oklahoma 74403-1597","74403","@bacone.edu",35.7715,-95.3394
"Bainbridge College,"423 S Broad St Bainbridge GA","39819","@bainbridge.edu",30.903601,-84.5756
"Baker College of Allen Park","4500 Enterprise Dr Allen Park Michigan 48101","48101","@baker.edu",42.2569,-83.2122
"Baker College of Auburn Hills","1500 University Dr Auburn Hills Michigan 48326-2642","48326","@baker.edu",42.6602,-83.2501
"Baker College of Cadillac","9600 E 13th St Cadillac Michigan 49601-9600","49601","@baker.edu",44.2669,-85.3832
"Baker College of Clinton Township,"35214 Little Mack Ave Clinton Township MI","48035",@baker.edu @jackson.baker ,42.556496,-82.907822
"Baker College of Flint","1050 West Bristol Road Flint Michigan 48507-9987","48507","@baker.edu",42.9742,-83.7004
"Baker College of Jackson","2800 Springport Rd Jackson Michigan 49202-1290","49202","@baker.edu",42.2766,-84.4516
